 5; 	  50.0163; 	  13816; 	  0.8; 	"";
 6; 	  51.0240; 	   5324; 	  0.3; 	"";
13; 	  63.0250; 	  21398; 	  1.2; 	"";
14; 	  64.0306; 	  26846; 	  1.5; 	"";
15; 	  65.0401; 	   5875; 	  0.3; 	"";
18; 	  74.0127; 	  29479; 	  1.7; 	"";
19; 	  74.1007; 	  10428; 	  0.6; 	"";
20; 	  75.0239; 	 269986; 	 15.2; 	"75.02";
22; 	  76.0274; 	  27517; 	  1.5; 	"";
23; 	  77.0238; 	   2419; 	  0.1; 	"";
26; 	  92.0264; 	 119331; 	  6.7; 	"";
27; 	  93.0330; 	  19562; 	  1.1; 	"";
35; 	 112.0931; 	  13514; 	  0.8; 	"";
36; 	 116.0493; 	 177661; 	 10.0; 	"";
38; 	 117.0553; 	  12715; 	  0.7; 	"";
40; 	 121.0282; 	  38947; 	  2.2; 	"";
41; 	 122.0250; 	1781341; 	100.0; 	"122.02";
43; 	 123.0277; 	 128003; 	  7.2; 	"";
44; 	 124.0305; 	   6549; 	  0.4; 	"";
47; 	 140.0330; 	   4071; 	  0.2; 	"";
48; 	 148.0382; 	   5597; 	  0.3; 	"";
49; 	 149.0345; 	  16018; 	  0.9; 	"";
50; 	 150.0302; 	 707116; 	 39.7; 	"150.03";
51; 	 151.0328; 	  52954; 	  3.0; 	"";
62; 	 297.1412; 	  23433; 	  1.3; 	"";
63; 	 298.1453; 	   1920; 	  0.1; 	"";
65; 	 309.1887; 	   9318; 	  0.5; 	"";
69; 	 373.0821; 	   3741; 	  0.2; 	"";
74; 	 449.0084; 	 340795; 	 19.1; 	"449.01";
75; 	 450.0078; 	  57613; 	  3.2; 	"";
76; 	 451.0057; 	  20303; 	  1.1; 	"";
83; 	 462.0884; 	   6902; 	  0.4; 	"";
94; 	 747.9836; 	  95220; 	  5.3; 	"";
95; 	 748.9794; 	  21598; 	  1.2; 	"";
96; 	 750.0001; 	   7681; 	  0.4; 	"";
103; 	 914.9844; 	   6115; 	  0.3; 	"";
104; 	 919.9265; 	  16932; 	  1.0; 	"";
106; 	1046.9736; 	 206412; 	 11.6; 	"1046.97";
107; 	1048.9696; 	  37825; 	  2.1; 	"";
111; 	1213.9589; 	   7731; 	  0.4; 	"";
113; 	1218.9033; 	  38820; 	  2.2; 	"";
114; 	1220.9137; 	   2019; 	  0.1; 	"";
116; 	1345.9422; 	 141580; 	  7.9; 	"";
117; 	1347.9495; 	  36093; 	  2.0; 	"";
