 0; 	  43.5138; 	    249; 	  0.5; 	"";
 1; 	  65.0840; 	   3216; 	  6.7; 	"";
 2; 	  75.0653; 	    525; 	  1.1; 	"";
 3; 	  77.0595; 	    197; 	  0.4; 	"";
 4; 	  92.1430; 	    258; 	  0.5; 	"";
 5; 	  93.0695; 	    253; 	  0.5; 	"";
 6; 	  95.0423; 	    101; 	  0.2; 	"";
 7; 	  97.0465; 	   1606; 	  3.3; 	"";
 8; 	  97.7717; 	    256; 	  0.5; 	"";
 9; 	 103.0331; 	    175; 	  0.4; 	"";
10; 	 104.0319; 	    489; 	  1.0; 	"";
11; 	 106.0814; 	   1691; 	  3.5; 	"";
12; 	 107.0853; 	    603; 	  1.3; 	"";
13; 	 109.0407; 	    106; 	  0.2; 	"";
14; 	 110.0730; 	    578; 	  1.2; 	"";
15; 	 112.1096; 	   2686; 	  5.6; 	"";
16; 	 112.3946; 	    127; 	  0.3; 	"";
17; 	 113.0662; 	    106; 	  0.2; 	"";
18; 	 115.0638; 	    559; 	  1.2; 	"";
19; 	 116.0883; 	   4218; 	  8.8; 	"";
20; 	 117.0834; 	    219; 	  0.5; 	"";
21; 	 118.0761; 	    117; 	  0.2; 	"";
22; 	 120.0495; 	   1474; 	  3.1; 	"";
23; 	 121.0355; 	  48187; 	100.0; 	"121.04";
24; 	 122.0643; 	   2868; 	  6.0; 	"";
25; 	 123.0500; 	    247; 	  0.5; 	"";
26; 	 124.5504; 	    124; 	  0.3; 	"";
27; 	 125.0457; 	   1332; 	  2.8; 	"";
28; 	 128.0847; 	    280; 	  0.6; 	"";
29; 	 129.1003; 	    115; 	  0.2; 	"";
30; 	 132.0672; 	    153; 	  0.3; 	"";
31; 	 136.0045; 	   2379; 	  4.9; 	"";
32; 	 139.0452; 	   3240; 	  6.7; 	"";
33; 	 140.0512; 	    255; 	  0.5; 	"";
34; 	 140.5778; 	    259; 	  0.5; 	"";
35; 	 141.0945; 	   1549; 	  3.2; 	"";
36; 	 143.3936; 	    259; 	  0.5; 	"";
37; 	 149.0190; 	  15037; 	 31.2; 	"149.02";
38; 	 150.0273; 	    992; 	  2.1; 	"";
39; 	 150.9723; 	    111; 	  0.2; 	"";
40; 	 152.0362; 	    644; 	  1.3; 	"";
41; 	 155.0600; 	    136; 	  0.3; 	"";
42; 	 156.0066; 	    106; 	  0.2; 	"";
43; 	 156.2084; 	    257; 	  0.5; 	"";
44; 	 157.0581; 	    530; 	  1.1; 	"";
45; 	 162.0330; 	    580; 	  1.2; 	"";
46; 	 166.5840; 	    260; 	  0.5; 	"";
47; 	 168.0623; 	   2224; 	  4.6; 	"";
48; 	 169.0408; 	    344; 	  0.7; 	"";
49; 	 173.9849; 	    369; 	  0.8; 	"";
50; 	 177.0767; 	    131; 	  0.3; 	"";
51; 	 184.1314; 	    134; 	  0.3; 	"";
52; 	 185.0165; 	   1066; 	  2.2; 	"";
53; 	 186.0564; 	    118; 	  0.2; 	"";
54; 	 189.0187; 	   2002; 	  4.2; 	"";
55; 	 194.9978; 	    818; 	  1.7; 	"";
56; 	 196.0040; 	   1161; 	  2.4; 	"";
57; 	 197.0182; 	    102; 	  0.2; 	"";
58; 	 201.8409; 	    180; 	  0.4; 	"";
59; 	 213.0346; 	   1117; 	  2.3; 	"";
60; 	 214.0106; 	    106; 	  0.2; 	"";
61; 	 215.0543; 	    111; 	  0.2; 	"";
62; 	 221.0733; 	    482; 	  1.0; 	"";
63; 	 222.9716; 	    961; 	  2.0; 	"";
64; 	 223.9728; 	    259; 	  0.5; 	"";
65; 	 227.9709; 	    496; 	  1.0; 	"";
66; 	 229.0308; 	    143; 	  0.3; 	"";
67; 	 229.9638; 	    115; 	  0.2; 	"";
68; 	 236.8973; 	    293; 	  0.6; 	"";
69; 	 238.9405; 	    112; 	  0.2; 	"";
70; 	 240.0277; 	    958; 	  2.0; 	"";
71; 	 240.9432; 	  25177; 	 52.2; 	"240.94";
72; 	 241.9498; 	   3753; 	  7.8; 	"";
73; 	 243.0136; 	    459; 	  1.0; 	"";
74; 	 243.9507; 	    129; 	  0.3; 	"";
75; 	 245.2669; 	    176; 	  0.4; 	"";
76; 	 252.8895; 	  29296; 	 60.8; 	"252.89";
77; 	 253.8935; 	   2429; 	  5.0; 	"";
78; 	 254.8810; 	   1672; 	  3.5; 	"";
79; 	 255.9186; 	   2283; 	  4.7; 	"";
80; 	 256.9975; 	    592; 	  1.2; 	"";
81; 	 268.9970; 	    602; 	  1.2; 	"";
82; 	 280.9196; 	    103; 	  0.2; 	"";
83; 	 285.8384; 	    143; 	  0.3; 	"";
84; 	 304.7493; 	    269; 	  0.6; 	"";
