 1; 	  50.0461; 	    663; 	  0.4; 	"";
 2; 	  51.0541; 	   7017; 	  3.9; 	"";
 3; 	  52.0616; 	    242; 	  0.1; 	"";
 6; 	  54.8552; 	    187; 	  0.1; 	"";
 8; 	  74.1174; 	    310; 	  0.2; 	"";
 9; 	  77.0597; 	 177921; 	100.0; 	"77.06";
10; 	  78.0648; 	  10968; 	  6.2; 	"";
12; 	  82.3274; 	    261; 	  0.1; 	"";
13; 	  83.0747; 	   1165; 	  0.7; 	"";
14; 	  86.8615; 	    263; 	  0.1; 	"";
20; 	 105.0477; 	  65539; 	 36.8; 	"105.05";
21; 	 106.0484; 	   2624; 	  1.5; 	"";
22; 	 107.0545; 	   4726; 	  2.7; 	"";
23; 	 108.0497; 	    305; 	  0.2; 	"";
24; 	 112.0968; 	   1275; 	  0.7; 	"";
25; 	 115.0488; 	    258; 	  0.1; 	"";
30; 	 135.0438; 	   2664; 	  1.5; 	"";
31; 	 136.0274; 	    213; 	  0.1; 	"";
34; 	 138.9827; 	    226; 	  0.1; 	"";
38; 	 152.0344; 	   1289; 	  0.7; 	"";
39; 	 153.0437; 	   5617; 	  3.2; 	"";
40; 	 154.0466; 	    249; 	  0.1; 	"";
42; 	 165.0317; 	    234; 	  0.1; 	"";
44; 	 168.0304; 	    240; 	  0.1; 	"";
45; 	 169.0228; 	    234; 	  0.1; 	"";
48; 	 179.0090; 	    226; 	  0.1; 	"";
49; 	 181.0284; 	    316; 	  0.2; 	"";
50; 	 183.0246; 	    373; 	  0.2; 	"";
51; 	 186.0188; 	   1810; 	  1.0; 	"";
52; 	 194.8552; 	    253; 	  0.1; 	"";
53; 	 197.6925; 	    196; 	  0.1; 	"";
55; 	 202.5779; 	    261; 	  0.1; 	"";
56; 	 204.0116; 	    190; 	  0.1; 	"";
60; 	 223.0145; 	    341; 	  0.2; 	"";
63; 	 229.0093; 	    558; 	  0.3; 	"";
64; 	 230.0003; 	    410; 	  0.2; 	"";
68; 	 250.1649; 	    179; 	  0.1; 	"";
69; 	 256.9913; 	  18056; 	 10.1; 	"256.99";
70; 	 257.9936; 	   3116; 	  1.8; 	"";
71; 	 258.9903; 	    508; 	  0.3; 	"";
73; 	 296.9856; 	    759; 	  0.4; 	"";
74; 	 298.9760; 	    371; 	  0.2; 	"";
75; 	 302.8802; 	   5468; 	  3.1; 	"";
76; 	 303.8763; 	    989; 	  0.6; 	"";
79; 	 309.2045; 	   1575; 	  0.9; 	"";
81; 	 326.9496; 	   4680; 	  2.6; 	"";
82; 	 327.9695; 	   1007; 	  0.6; 	"";
83; 	 332.9552; 	   7780; 	  4.4; 	"";
84; 	 333.9587; 	   2516; 	  1.4; 	"";
85; 	 334.9659; 	    532; 	  0.3; 	"";
86; 	 336.5901; 	    227; 	  0.1; 	"";
88; 	 358.8354; 	  16677; 	  9.4; 	"";
89; 	 359.8268; 	   2754; 	  1.5; 	"";
90; 	 360.8224; 	    577; 	  0.3; 	"";
91; 	 366.7976; 	    242; 	  0.1; 	"";
95; 	 402.9093; 	    642; 	  0.4; 	"";
96; 	 403.8990; 	    191; 	  0.1; 	"";
97; 	 408.9149; 	   3545; 	  2.0; 	"";
98; 	 409.9110; 	   1257; 	  0.7; 	"";
99; 	 410.9355; 	    623; 	  0.4; 	"";
104; 	 484.8710; 	   2040; 	  1.1; 	"";
105; 	 485.8658; 	    940; 	  0.5; 	"";
106; 	 486.8713; 	    327; 	  0.2; 	"";
107; 	 495.4641; 	    199; 	  0.1; 	"";
111; 	 560.8161; 	   1220; 	  0.7; 	"";
112; 	 561.8205; 	    480; 	  0.3; 	"";
113; 	 562.8240; 	    181; 	  0.1; 	"";
114; 	 612.5762; 	   2382; 	  1.3; 	"";
115; 	 617.4787; 	    454; 	  0.3; 	"";
116; 	 636.7558; 	    408; 	  0.2; 	"";
118; 	 638.8019; 	    316; 	  0.2; 	"";
119; 	 639.7828; 	    385; 	  0.2; 	"";
120; 	 682.3726; 	    222; 	  0.1; 	"";
121; 	 683.4619; 	    272; 	  0.2; 	"";
124; 	 753.3258; 	    263; 	  0.1; 	"";
125; 	 784.3009; 	    468; 	  0.3; 	"";
127; 	 866.3084; 	   6634; 	  3.7; 	"";
128; 	 867.2576; 	   1531; 	  0.9; 	"";
129; 	 868.2433; 	    413; 	  0.2; 	"";
132; 	 983.4524; 	    251; 	  0.1; 	"";
133; 	1001.5590; 	    268; 	  0.2; 	"";
136; 	1038.0677; 	    471; 	  0.3; 	"";
140; 	1120.0335; 	   4252; 	  2.4; 	"";
141; 	1122.0062; 	    471; 	  0.3; 	"";
143; 	1373.7473; 	   5736; 	  3.2; 	"";
144; 	1375.7038; 	   1470; 	  0.8; 	"";
146; 	1505.9910; 	    225; 	  0.1; 	"";
147; 	1540.4755; 	    471; 	  0.3; 	"";
148; 	1542.9562; 	    259; 	  0.1; 	"";
149; 	1545.4644; 	    204; 	  0.1; 	"";
151; 	1627.4662; 	  17022; 	  9.6; 	"";
152; 	1629.4451; 	   7898; 	  4.4; 	"";
153; 	1631.4403; 	    685; 	  0.4; 	"";
156; 	1707.4494; 	    280; 	  0.2; 	"";
158; 	1881.0914; 	    705; 	  0.4; 	"";
160; 	1913.3617; 	    272; 	  0.2; 	"";
161; 	1917.4284; 	    207; 	  0.1; 	"";
