 1; 	  51.0254; 	   2160; 	  0.9; 	"";
 2; 	  51.1022; 	    426; 	  0.2; 	"";
 4; 	  52.0175; 	    469; 	  0.2; 	"";
 9; 	  57.7206; 	    270; 	  0.1; 	"";
10; 	  59.3072; 	    259; 	  0.1; 	"";
11; 	  63.0249; 	   1015; 	  0.4; 	"";
13; 	  64.0339; 	   4180; 	  1.7; 	"";
14; 	  64.1122; 	    390; 	  0.2; 	"";
19; 	  74.0963; 	    726; 	  0.3; 	"";
20; 	  75.0231; 	  38891; 	 15.7; 	"75.02";
21; 	  75.1116; 	   5303; 	  2.1; 	"";
22; 	  76.0227; 	   2718; 	  1.1; 	"";
23; 	  76.1139; 	    250; 	  0.1; 	"";
24; 	  77.0320; 	    548; 	  0.2; 	"";
26; 	  83.2147; 	    274; 	  0.1; 	"";
28; 	  92.0281; 	  33867; 	 13.7; 	"92.03";
29; 	  92.1263; 	   1174; 	  0.5; 	"";
30; 	  93.0273; 	   1749; 	  0.7; 	"";
31; 	  93.1252; 	    646; 	  0.3; 	"";
33; 	 107.0765; 	    524; 	  0.2; 	"";
34; 	 116.0491; 	  16847; 	  6.8; 	"";
37; 	 122.0265; 	 219164; 	 88.7; 	"122.03";
38; 	 122.1851; 	    763; 	  0.3; 	"";
39; 	 123.0274; 	  14581; 	  5.9; 	"";
40; 	 124.0311; 	    392; 	  0.2; 	"";
43; 	 148.0375; 	   1109; 	  0.4; 	"";
44; 	 150.0314; 	 247134; 	100.0; 	"150.03";
45; 	 150.1971; 	    270; 	  0.1; 	"";
46; 	 151.0317; 	   9748; 	  3.9; 	"";
48; 	 156.5953; 	    260; 	  0.1; 	"";
55; 	 297.1399; 	   7050; 	  2.9; 	"";
56; 	 310.9974; 	    258; 	  0.1; 	"";
58; 	 350.7558; 	    272; 	  0.1; 	"";
59; 	 398.0548; 	    269; 	  0.1; 	"";
63; 	 438.0630; 	    464; 	  0.2; 	"";
65; 	 449.0117; 	 242321; 	 98.1; 	"449.01";
66; 	 450.0233; 	  32046; 	 13.0; 	"450.02";
67; 	 451.0087; 	   7408; 	  3.0; 	"";
68; 	 451.9941; 	    326; 	  0.1; 	"";
69; 	 462.1728; 	   2058; 	  0.8; 	"";
70; 	 464.0700; 	    385; 	  0.2; 	"";
73; 	 557.8949; 	    267; 	  0.1; 	"";
74; 	 604.8945; 	    264; 	  0.1; 	"";
75; 	 644.5001; 	    270; 	  0.1; 	"";
76; 	 666.1124; 	    277; 	  0.1; 	"";
78; 	 707.6923; 	    272; 	  0.1; 	"";
79; 	 741.9192; 	    533; 	  0.2; 	"";
80; 	 747.9953; 	 110927; 	 44.9; 	"748.00";
81; 	 748.9966; 	  21429; 	  8.7; 	"";
82; 	 749.9854; 	   2358; 	  1.0; 	"";
83; 	 767.9793; 	    260; 	  0.1; 	"";
84; 	 771.7112; 	    275; 	  0.1; 	"";
87; 	 854.6166; 	    278; 	  0.1; 	"";
88; 	 861.5099; 	    272; 	  0.1; 	"";
89; 	 877.2965; 	    271; 	  0.1; 	"";
91; 	 919.1358; 	   1617; 	  0.7; 	"";
92; 	1046.9862; 	 198494; 	 80.3; 	"1046.99";
93; 	1048.9838; 	  24812; 	 10.0; 	"1048.98";
95; 	1165.6902; 	    268; 	  0.1; 	"";
96; 	1218.8605; 	   2601; 	  1.1; 	"";
97; 	1257.2525; 	    283; 	  0.1; 	"";
98; 	1345.9739; 	 136849; 	 55.4; 	"1345.97";
99; 	1347.9630; 	  23984; 	  9.7; 	"";
102; 	1644.9423; 	  41087; 	 16.6; 	"1644.94";
103; 	1646.9335; 	   1135; 	  0.5; 	"";
106; 	1941.9390; 	    501; 	  0.2; 	"";
107; 	1943.9433; 	   3478; 	  1.4; 	"";
