10; 	  75.0218; 	   7690; 	  1.4; 	"";
11; 	  75.1125; 	   2291; 	  0.4; 	"";
15; 	  92.0258; 	   8685; 	  1.6; 	"";
16; 	  92.1199; 	   2608; 	  0.5; 	"";
18; 	 107.0146; 	   1209; 	  0.2; 	"";
20; 	 116.0513; 	  53850; 	  9.7; 	"";
23; 	 122.0258; 	 138431; 	 25.0; 	"122.03";
25; 	 123.0323; 	   6801; 	  1.2; 	"";
28; 	 148.0388; 	   2753; 	  0.5; 	"";
30; 	 150.0319; 	 300885; 	 54.3; 	"150.03";
31; 	 151.0308; 	  15388; 	  2.8; 	"";
37; 	 195.0085; 	   1136; 	  0.2; 	"";
40; 	 321.8675; 	   1837; 	  0.3; 	"";
44; 	 471.0655; 	 205817; 	 37.2; 	"471.07";
45; 	 472.0662; 	  50824; 	  9.2; 	"";
46; 	 473.0700; 	   8533; 	  1.5; 	"";
48; 	 665.0687; 	   3229; 	  0.6; 	"";
49; 	 716.1706; 	   1723; 	  0.3; 	"";
52; 	 792.1050; 	 413793; 	 74.7; 	"792.10";
53; 	 793.1101; 	 155524; 	 28.1; 	"793.11";
54; 	 794.1107; 	  68840; 	 12.4; 	"794.11";
55; 	 795.1146; 	  12990; 	  2.3; 	"";
56; 	 859.0615; 	    565; 	  0.1; 	"";
57; 	 986.1113; 	  20180; 	  3.6; 	"";
58; 	 987.1101; 	   5445; 	  1.0; 	"";
59; 	 988.1104; 	   2320; 	  0.4; 	"";
61; 	1113.1458; 	 553818; 	100.0; 	"1113.15";
62; 	1115.1515; 	 148492; 	 26.8; 	"1115.15";
63; 	1117.1500; 	   5778; 	  1.0; 	"";
66; 	1180.0992; 	    694; 	  0.1; 	"";
67; 	1307.1420; 	  18122; 	  3.3; 	"";
68; 	1309.1463; 	   2640; 	  0.5; 	"";
69; 	1434.1777; 	 242131; 	 43.7; 	"1434.18";
70; 	1436.1777; 	  91391; 	 16.5; 	"1436.18";
71; 	1438.1596; 	   1080; 	  0.2; 	"";
76; 	1628.1685; 	   3459; 	  0.6; 	"";
79; 	1753.4640; 	   1263; 	  0.2; 	"";
80; 	1755.2191; 	  99595; 	 18.0; 	"1755.22";
81; 	1757.2275; 	  37320; 	  6.7; 	"";
