 5; 	  45.0010; 	   1441; 	  0.2; 	"";
 6; 	  50.0134; 	   2537; 	  0.3; 	"";
 8; 	  51.0239; 	  89422; 	 11.0; 	"51.02";
 9; 	  51.0847; 	   2212; 	  0.3; 	"";
10; 	  52.0253; 	   5384; 	  0.7; 	"";
11; 	  53.0028; 	  30391; 	  3.7; 	"";
17; 	  63.0209; 	  18480; 	  2.3; 	"";
18; 	  63.1066; 	   1935; 	  0.2; 	"";
19; 	  64.0288; 	  14766; 	  1.8; 	"";
22; 	  66.0352; 	   5234; 	  0.6; 	"";
23; 	  67.0174; 	   2050; 	  0.3; 	"";
29; 	  78.0344; 	  48488; 	  6.0; 	"";
31; 	  79.0373; 	   1354; 	  0.2; 	"";
33; 	  92.0265; 	  94831; 	 11.6; 	"92.03";
35; 	  93.0293; 	   4013; 	  0.5; 	"";
36; 	  94.0299; 	 142365; 	 17.5; 	"94.03";
37; 	  95.0341; 	   7152; 	  0.9; 	"";
38; 	  96.0460; 	   1241; 	  0.2; 	"";
40; 	 105.0597; 	   7555; 	  0.9; 	"";
42; 	 119.0596; 	   1588; 	  0.2; 	"";
43; 	 122.0270; 	    179; 	  0.1; 	"";
44; 	 150.0305; 	 814740; 	100.0; 	"150.03";
45; 	 151.0323; 	  61799; 	  7.6; 	"";
46; 	 152.0353; 	   2395; 	  0.3; 	"";
70; 	 449.0091; 	 318437; 	 39.1; 	"449.01";
71; 	 450.0166; 	  55605; 	  6.8; 	"";
72; 	 451.0143; 	  22382; 	  2.7; 	"";
86; 	 747.9916; 	  35066; 	  4.3; 	"";
87; 	 748.9883; 	   3437; 	  0.4; 	"";
88; 	 749.9861; 	    962; 	  0.1; 	"";
92; 	 919.9208; 	   7777; 	  1.0; 	"";
93; 	1046.9676; 	  82974; 	 10.2; 	"1046.97";
94; 	1048.9696; 	  12705; 	  1.6; 	"";
95; 	1213.9740; 	   2083; 	  0.3; 	"";
96; 	1218.9112; 	  31274; 	  3.8; 	"";
97; 	1220.9072; 	   3004; 	  0.4; 	"";
99; 	1345.9426; 	  94245; 	 11.6; 	"1345.94";
100; 	1347.9557; 	  23817; 	  2.9; 	"";
107; 	1644.9361; 	  16912; 	  2.1; 	"";
108; 	1646.9446; 	   2901; 	  0.4; 	"";
116; 	1943.9464; 	   9680; 	  1.2; 	"";
117; 	1945.9165; 	   2215; 	  0.3; 	"";
