 0; 	  63.0233; 	   1085; 	  2.4; 	"";
 1; 	  64.0302; 	    426; 	  0.9; 	"";
 2; 	  74.0963; 	   1702; 	  3.7; 	"";
 3; 	 116.9343; 	    864; 	  1.9; 	"";
 4; 	 118.9322; 	    300; 	  0.7; 	"";
 5; 	 142.9469; 	   8082; 	 17.5; 	"142.95";
 6; 	 143.9497; 	    284; 	  0.6; 	"";
 7; 	 144.9472; 	   8089; 	 17.5; 	"144.95";
 8; 	 145.9463; 	    210; 	  0.5; 	"";
 9; 	 170.9399; 	   1594; 	  3.5; 	"";
10; 	 172.9410; 	   2426; 	  5.3; 	"";
11; 	 198.9396; 	  46100; 	100.0; 	"198.94";
12; 	 199.9423; 	   3058; 	  6.6; 	"";
13; 	 200.9368; 	  42503; 	 92.2; 	"200.94";
14; 	 201.9423; 	   3591; 	  7.8; 	"";
15; 	 202.9448; 	    406; 	  0.9; 	"";
16; 	 226.9433; 	  22388; 	 48.6; 	"226.94";
17; 	 227.9466; 	   1735; 	  3.8; 	"";
18; 	 228.9423; 	  19296; 	 41.9; 	"228.94";
19; 	 229.9463; 	   2744; 	  6.0; 	"";
20; 	 248.9256; 	    866; 	  1.9; 	"";
21; 	 250.9226; 	    799; 	  1.7; 	"";
22; 	 262.9073; 	    445; 	  1.0; 	"";
23; 	 278.8441; 	   1054; 	  2.3; 	"";
24; 	 297.1504; 	   1227; 	  2.7; 	"";
25; 	 300.0322; 	    899; 	  2.0; 	"";
26; 	 302.0260; 	   1212; 	  2.6; 	"";
27; 	 306.8513; 	    437; 	  0.9; 	"";
28; 	 308.8532; 	    413; 	  0.9; 	"";
29; 	 309.1828; 	    509; 	  1.1; 	"";
30; 	 452.8824; 	   6053; 	 13.1; 	"452.88";
31; 	 453.8859; 	   1683; 	  3.6; 	"";
32; 	 454.8808; 	  11562; 	 25.1; 	"454.88";
33; 	 455.8824; 	   1607; 	  3.5; 	"";
34; 	 456.8806; 	   6010; 	 13.0; 	"456.88";
35; 	 474.8615; 	    604; 	  1.3; 	"";
36; 	 602.8394; 	    595; 	  1.3; 	"";
37; 	 604.8344; 	   2018; 	  4.4; 	"";
38; 	 626.8204; 	    410; 	  0.9; 	"";
39; 	 628.8169; 	    485; 	  1.1; 	"";
40; 	 828.7803; 	   1303; 	  2.8; 	"";
41; 	 830.7808; 	   4779; 	 10.4; 	"830.78";
42; 	 831.7850; 	   1114; 	  2.4; 	"";
43; 	 832.7759; 	   4197; 	  9.1; 	"";
44; 	 833.7814; 	   1260; 	  2.7; 	"";
45; 	 834.7876; 	   1398; 	  3.0; 	"";
46; 	 852.7421; 	    554; 	  1.2; 	"";
47; 	 854.7535; 	    569; 	  1.2; 	"";
48; 	 978.7572; 	    600; 	  1.3; 	"";
49; 	 980.7392; 	   1631; 	  3.5; 	"";
50; 	 982.7202; 	   2599; 	  5.6; 	"";
51; 	 983.7602; 	   1393; 	  3.0; 	"";
52; 	1002.7209; 	   1034; 	  2.2; 	"";
53; 	1004.7196; 	    716; 	  1.6; 	"";
54; 	1206.6819; 	   3456; 	  7.5; 	"";
55; 	1208.6855; 	   4670; 	 10.1; 	"1208.69";
56; 	1210.6893; 	   3502; 	  7.6; 	"";
57; 	1212.6780; 	    592; 	  1.3; 	"";
58; 	1358.6409; 	    664; 	  1.4; 	"";
59; 	1434.6172; 	    464; 	  1.0; 	"";
60; 	1436.6166; 	   1113; 	  2.4; 	"";
61; 	1438.6334; 	    619; 	  1.3; 	"";
62; 	1582.5639; 	    459; 	  1.0; 	"";
63; 	1584.6007; 	   1516; 	  3.3; 	"";
64; 	1586.5630; 	    738; 	  1.6; 	"";
65; 	1588.5895; 	   1110; 	  2.4; 	"";
