 0; 	  51.7974; 	    271; 	  1.3; 	"";
 1; 	  88.2553; 	    100; 	  0.5; 	"";
 2; 	  93.0427; 	    113; 	  0.5; 	"";
 3; 	 105.7390; 	    215; 	  1.0; 	"";
 4; 	 107.0313; 	    101; 	  0.5; 	"";
 5; 	 112.1004; 	    393; 	  1.8; 	"";
 6; 	 115.0551; 	    407; 	  1.9; 	"";
 7; 	 121.0233; 	  21417; 	100.0; 	"121.02";
 8; 	 122.0277; 	    301; 	  1.4; 	"";
 9; 	 135.0456; 	    106; 	  0.5; 	"";
10; 	 139.0325; 	    122; 	  0.6; 	"";
11; 	 139.2600; 	    100; 	  0.5; 	"";
12; 	 140.0207; 	    181; 	  0.8; 	"";
13; 	 141.0499; 	    496; 	  2.3; 	"";
14; 	 149.0197; 	   6220; 	 29.0; 	"149.02";
15; 	 150.0071; 	    149; 	  0.7; 	"";
16; 	 152.0452; 	    147; 	  0.7; 	"";
17; 	 157.1379; 	    102; 	  0.5; 	"";
18; 	 167.0355; 	    121; 	  0.6; 	"";
19; 	 169.0250; 	    108; 	  0.5; 	"";
20; 	 170.0185; 	    104; 	  0.5; 	"";
21; 	 194.8203; 	    110; 	  0.5; 	"";
22; 	 196.9961; 	  15911; 	 74.3; 	"197.00";
23; 	 198.0000; 	   2442; 	 11.4; 	"198.00";
24; 	 199.0013; 	    208; 	  1.0; 	"";
25; 	 205.0305; 	    346; 	  1.6; 	"";
26; 	 209.9781; 	    105; 	  0.5; 	"";
27; 	 222.9493; 	    270; 	  1.3; 	"";
28; 	 224.9802; 	   1248; 	  5.8; 	"";
29; 	 225.9761; 	    107; 	  0.5; 	"";
30; 	 236.7365; 	    284; 	  1.3; 	"";
31; 	 240.9518; 	   2450; 	 11.4; 	"240.95";
32; 	 241.9438; 	    224; 	  1.0; 	"";
33; 	 253.1429; 	    109; 	  0.5; 	"";
34; 	 268.9285; 	   2087; 	  9.7; 	"";
35; 	 270.9440; 	    340; 	  1.6; 	"";
36; 	 272.9721; 	    637; 	  3.0; 	"";
37; 	 284.1250; 	    118; 	  0.5; 	"";
38; 	 296.9326; 	   1176; 	  5.5; 	"";
39; 	 297.9212; 	    253; 	  1.2; 	"";
40; 	 298.9184; 	    627; 	  2.9; 	"";
41; 	 300.9391; 	   1736; 	  8.1; 	"";
42; 	 301.9402; 	    271; 	  1.3; 	"";
43; 	 309.0545; 	    881; 	  4.1; 	"";
44; 	 313.9192; 	    911; 	  4.3; 	"";
45; 	 316.9019; 	    123; 	  0.6; 	"";
46; 	 326.8909; 	    382; 	  1.8; 	"";
47; 	 344.8863; 	    796; 	  3.7; 	"";
48; 	 358.9078; 	   4608; 	 21.5; 	"358.91";
