 0; 	  41.1701; 	    272; 	  0.4; 	"";
 1; 	  42.8918; 	    205; 	  0.3; 	"";
 2; 	  50.0749; 	   1484; 	  2.3; 	"";
 3; 	  51.0622; 	    316; 	  0.5; 	"";
 4; 	  74.0626; 	    588; 	  0.9; 	"";
 5; 	  75.0890; 	   1224; 	  1.9; 	"";
 6; 	  76.0763; 	   3310; 	  5.1; 	"";
 7; 	  99.0561; 	    347; 	  0.5; 	"";
 8; 	 101.1084; 	    272; 	  0.4; 	"";
 9; 	 105.0730; 	    191; 	  0.3; 	"";
10; 	 112.1105; 	    320; 	  0.5; 	"";
11; 	 115.0845; 	    622; 	  1.0; 	"";
12; 	 121.0600; 	    365; 	  0.6; 	"";
13; 	 126.0970; 	    172; 	  0.3; 	"";
14; 	 128.0898; 	   1704; 	  2.6; 	"";
15; 	 129.1169; 	    181; 	  0.3; 	"";
16; 	 130.9699; 	   1712; 	  2.6; 	"";
17; 	 132.9703; 	   3071; 	  4.7; 	"";
18; 	 133.1163; 	    257; 	  0.4; 	"";
19; 	 134.0794; 	    236; 	  0.4; 	"";
20; 	 135.1915; 	    248; 	  0.4; 	"";
21; 	 139.0748; 	   7209; 	 11.1; 	"139.07";
22; 	 140.0792; 	   3744; 	  5.8; 	"";
23; 	 141.0887; 	    148; 	  0.2; 	"";
24; 	 142.9993; 	    178; 	  0.3; 	"";
25; 	 144.0737; 	   1189; 	  1.8; 	"";
26; 	 144.9674; 	    264; 	  0.4; 	"";
27; 	 150.0653; 	    119; 	  0.2; 	"";
28; 	 152.0782; 	   6449; 	 10.0; 	"";
29; 	 153.0941; 	    388; 	  0.6; 	"";
30; 	 154.9962; 	  44204; 	 68.3; 	"155.00";
31; 	 155.9606; 	   1513; 	  2.3; 	"";
32; 	 156.9941; 	  42115; 	 65.1; 	"156.99";
33; 	 157.9689; 	    328; 	  0.5; 	"";
34; 	 158.9508; 	   1668; 	  2.6; 	"";
35; 	 160.9545; 	   1040; 	  1.6; 	"";
36; 	 166.1222; 	    496; 	  0.8; 	"";
37; 	 167.1175; 	    419; 	  0.6; 	"";
38; 	 168.0646; 	  36790; 	 56.8; 	"168.06";
39; 	 169.0675; 	   4569; 	  7.1; 	"";
40; 	 170.0669; 	    905; 	  1.4; 	"";
41; 	 170.9432; 	   3068; 	  4.7; 	"";
42; 	 172.0148; 	    122; 	  0.2; 	"";
43; 	 172.9493; 	   1686; 	  2.6; 	"";
44; 	 175.1102; 	    115; 	  0.2; 	"";
45; 	 177.9717; 	    153; 	  0.2; 	"";
46; 	 179.0562; 	   1157; 	  1.8; 	"";
47; 	 182.1047; 	    111; 	  0.2; 	"";
48; 	 182.9925; 	  30029; 	 46.4; 	"182.99";
49; 	 184.0066; 	   1426; 	  2.2; 	"";
50; 	 184.9937; 	  29129; 	 45.0; 	"184.99";
51; 	 185.9516; 	    889; 	  1.4; 	"";
52; 	 190.7121; 	    103; 	  0.2; 	"";
53; 	 191.1034; 	    101; 	  0.2; 	"";
54; 	 192.9659; 	    322; 	  0.5; 	"";
55; 	 195.0920; 	    101; 	  0.2; 	"";
56; 	 195.9376; 	   1565; 	  2.4; 	"";
57; 	 197.9311; 	    736; 	  1.1; 	"";
58; 	 198.9301; 	    124; 	  0.2; 	"";
59; 	 202.8958; 	    268; 	  0.4; 	"";
60; 	 205.0483; 	    145; 	  0.2; 	"";
61; 	 206.0109; 	    104; 	  0.2; 	"";
62; 	 207.8591; 	    135; 	  0.2; 	"";
63; 	 211.9232; 	    405; 	  0.6; 	"";
64; 	 213.9143; 	    679; 	  1.0; 	"";
65; 	 214.9895; 	    126; 	  0.2; 	"";
66; 	 217.0168; 	    102; 	  0.2; 	"";
67; 	 218.3381; 	    151; 	  0.2; 	"";
68; 	 218.9589; 	  59969; 	 92.6; 	"218.96";
69; 	 219.9618; 	   7328; 	 11.3; 	"219.96";
70; 	 220.9951; 	  58514; 	 90.4; 	"221.00";
71; 	 221.9656; 	   6852; 	 10.6; 	"221.97";
72; 	 229.9985; 	  11496; 	 17.8; 	"230.00";
73; 	 230.9524; 	   1329; 	  2.1; 	"";
74; 	 231.9898; 	  12015; 	 18.6; 	"231.99";
75; 	 232.9933; 	    792; 	  1.2; 	"";
76; 	 233.6814; 	    167; 	  0.3; 	"";
77; 	 234.9549; 	    332; 	  0.5; 	"";
78; 	 245.9312; 	   4911; 	  7.6; 	"";
79; 	 246.9369; 	  18220; 	 28.1; 	"246.94";
80; 	 247.9317; 	   7683; 	 11.9; 	"247.93";
81; 	 248.9348; 	  19178; 	 29.6; 	"248.93";
82; 	 249.9939; 	  12778; 	 19.7; 	"249.99";
83; 	 250.9493; 	   1534; 	  2.4; 	"";
84; 	 251.9896; 	  11428; 	 17.7; 	"251.99";
85; 	 252.9393; 	    951; 	  1.5; 	"";
86; 	 256.0525; 	    109; 	  0.2; 	"";
87; 	 257.9326; 	   3684; 	  5.7; 	"";
88; 	 258.9948; 	    170; 	  0.3; 	"";
89; 	 259.9906; 	   5181; 	  8.0; 	"";
90; 	 260.9342; 	    467; 	  0.7; 	"";
91; 	 262.0205; 	    291; 	  0.5; 	"";
92; 	 264.9876; 	    104; 	  0.2; 	"";
93; 	 267.1023; 	    132; 	  0.2; 	"";
94; 	 269.1038; 	    267; 	  0.4; 	"";
95; 	 276.1791; 	    174; 	  0.3; 	"";
96; 	 281.9916; 	    105; 	  0.2; 	"";
97; 	 287.9072; 	    110; 	  0.2; 	"";
98; 	 294.9500; 	    222; 	  0.3; 	"";
99; 	 296.8207; 	   2156; 	  3.3; 	"";
100; 	 297.7835; 	    205; 	  0.3; 	"";
101; 	 298.8212; 	   4498; 	  6.9; 	"";
102; 	 299.8212; 	    150; 	  0.2; 	"";
103; 	 300.8136; 	   1624; 	  2.5; 	"";
104; 	 305.7408; 	    263; 	  0.4; 	"";
105; 	 308.8185; 	    128; 	  0.2; 	"";
106; 	 309.8203; 	   7489; 	 11.6; 	"309.82";
107; 	 310.8451; 	   1122; 	  1.7; 	"";
108; 	 311.8170; 	  12945; 	 20.0; 	"311.82";
109; 	 312.8216; 	   1783; 	  2.8; 	"";
110; 	 313.8165; 	   6429; 	  9.9; 	"";
111; 	 314.8269; 	    688; 	  1.1; 	"";
112; 	 315.8854; 	   6036; 	  9.3; 	"";
113; 	 316.9123; 	    406; 	  0.6; 	"";
114; 	 317.8844; 	   5509; 	  8.5; 	"";
115; 	 318.9097; 	    154; 	  0.2; 	"";
116; 	 319.9781; 	    110; 	  0.2; 	"";
117; 	 321.9132; 	   1173; 	  1.8; 	"";
118; 	 322.9080; 	    354; 	  0.5; 	"";
119; 	 323.9074; 	   1719; 	  2.7; 	"";
120; 	 325.8141; 	   2478; 	  3.8; 	"";
121; 	 326.7501; 	    916; 	  1.4; 	"";
122; 	 327.8085; 	   5791; 	  8.9; 	"";
123; 	 328.8055; 	   2027; 	  3.1; 	"";
124; 	 329.8006; 	   2078; 	  3.2; 	"";
125; 	 330.8046; 	   3917; 	  6.1; 	"";
126; 	 331.8112; 	    102; 	  0.2; 	"";
127; 	 332.7979; 	    796; 	  1.2; 	"";
128; 	 336.8901; 	   1059; 	  1.6; 	"";
129; 	 338.7996; 	   2628; 	  4.1; 	"";
130; 	 339.7477; 	    315; 	  0.5; 	"";
131; 	 340.7877; 	   1192; 	  1.8; 	"";
132; 	 341.8740; 	    102; 	  0.2; 	"";
133; 	 348.9949; 	    114; 	  0.2; 	"";
134; 	 364.8652; 	    296; 	  0.5; 	"";
135; 	 366.7811; 	    583; 	  0.9; 	"";
136; 	 372.7887; 	    478; 	  0.7; 	"";
137; 	 373.7380; 	    646; 	  1.0; 	"";
138; 	 374.7995; 	    468; 	  0.7; 	"";
139; 	 375.7428; 	   2478; 	  3.8; 	"";
140; 	 376.7919; 	    467; 	  0.7; 	"";
141; 	 377.7364; 	    766; 	  1.2; 	"";
142; 	 379.8020; 	  15732; 	 24.3; 	"379.80";
143; 	 380.8493; 	   2128; 	  3.3; 	"";
144; 	 381.8077; 	  14954; 	 23.1; 	"381.81";
145; 	 382.8112; 	   2036; 	  3.1; 	"";
146; 	 383.8780; 	   1247; 	  1.9; 	"";
147; 	 385.8668; 	   1224; 	  1.9; 	"";
148; 	 387.8589; 	    218; 	  0.3; 	"";
149; 	 388.6949; 	   1006; 	  1.6; 	"";
150; 	 390.6926; 	   3412; 	  5.3; 	"";
151; 	 391.6927; 	    353; 	  0.5; 	"";
152; 	 392.6741; 	   3335; 	  5.2; 	"";
153; 	 394.6771; 	    246; 	  0.4; 	"";
154; 	 399.7730; 	    221; 	  0.3; 	"";
155; 	 400.8736; 	    243; 	  0.4; 	"";
156; 	 402.7885; 	    222; 	  0.3; 	"";
157; 	 403.7659; 	    673; 	  1.0; 	"";
