 0; 	  47.0057; 	    280; 	  1.0; 	"";
 1; 	  49.6898; 	    270; 	  1.0; 	"";
 2; 	  50.3822; 	    210; 	  0.8; 	"";
 3; 	  54.9241; 	    135; 	  0.5; 	"";
 4; 	  58.3019; 	    209; 	  0.8; 	"";
 5; 	  64.0295; 	    216; 	  0.8; 	"";
 6; 	  65.1100; 	    258; 	  0.9; 	"";
 7; 	  71.8144; 	    112; 	  0.4; 	"";
 8; 	  74.1007; 	    114; 	  0.4; 	"";
 9; 	  75.0215; 	   3192; 	 11.6; 	"75.02";
10; 	  75.1100; 	    150; 	  0.5; 	"";
11; 	  92.0280; 	   2312; 	  8.4; 	"";
12; 	  92.1206; 	    191; 	  0.7; 	"";
13; 	  93.8566; 	    265; 	  1.0; 	"";
14; 	 108.9713; 	    246; 	  0.9; 	"";
15; 	 112.0904; 	    396; 	  1.4; 	"";
16; 	 116.0474; 	   3050; 	 11.1; 	"116.05";
17; 	 117.0581; 	    131; 	  0.5; 	"";
18; 	 119.0489; 	    148; 	  0.5; 	"";
19; 	 121.0329; 	    123; 	  0.4; 	"";
20; 	 122.0237; 	  19675; 	 71.3; 	"122.02";
21; 	 123.0255; 	    231; 	  0.8; 	"";
22; 	 134.0652; 	    120; 	  0.4; 	"";
23; 	 136.4339; 	    260; 	  0.9; 	"";
24; 	 137.4428; 	    257; 	  0.9; 	"";
25; 	 148.0385; 	    111; 	  0.4; 	"";
26; 	 149.0318; 	    541; 	  2.0; 	"";
27; 	 150.0305; 	  27590; 	100.0; 	"150.03";
28; 	 151.0327; 	   1142; 	  4.1; 	"";
29; 	 152.0412; 	    523; 	  1.9; 	"";
30; 	 158.0443; 	    110; 	  0.4; 	"";
31; 	 163.1323; 	    112; 	  0.4; 	"";
32; 	 168.0570; 	    372; 	  1.3; 	"";
33; 	 169.0582; 	    154; 	  0.6; 	"";
34; 	 186.0456; 	    118; 	  0.4; 	"";
35; 	 187.8982; 	    268; 	  1.0; 	"";
36; 	 189.0654; 	    160; 	  0.6; 	"";
37; 	 194.4527; 	    269; 	  1.0; 	"";
38; 	 200.0406; 	    112; 	  0.4; 	"";
39; 	 210.0126; 	    257; 	  0.9; 	"";
40; 	 220.0612; 	    466; 	  1.7; 	"";
41; 	 247.0560; 	    176; 	  0.6; 	"";
42; 	 261.0372; 	    157; 	  0.6; 	"";
43; 	 292.5490; 	    286; 	  1.0; 	"";
44; 	 297.0488; 	    103; 	  0.4; 	"";
45; 	 309.1804; 	    226; 	  0.8; 	"";
46; 	 310.1747; 	    105; 	  0.4; 	"";
47; 	 320.0740; 	    114; 	  0.4; 	"";
48; 	 369.4573; 	    213; 	  0.8; 	"";
49; 	 386.0676; 	   3982; 	 14.4; 	"386.07";
50; 	 387.0609; 	  24953; 	 90.4; 	"387.06";
51; 	 388.0578; 	   2649; 	  9.6; 	"";
52; 	 389.1677; 	    130; 	  0.5; 	"";
53; 	 414.9174; 	    112; 	  0.4; 	"";
54; 	 481.0594; 	    102; 	  0.4; 	"";
55; 	 497.0358; 	    112; 	  0.4; 	"";
56; 	 500.5834; 	    283; 	  1.0; 	"";
57; 	 505.3017; 	    113; 	  0.4; 	"";
58; 	 519.1293; 	    129; 	  0.5; 	"";
59; 	 529.0807; 	    101; 	  0.4; 	"";
60; 	 559.5567; 	    105; 	  0.4; 	"";
61; 	 568.5941; 	    110; 	  0.4; 	"";
62; 	 624.0799; 	    267; 	  1.0; 	"";
63; 	 626.9203; 	    259; 	  0.9; 	"";
64; 	 733.0918; 	    849; 	  3.1; 	"";
65; 	 734.0861; 	   2820; 	 10.2; 	"734.09";
66; 	 735.1031; 	    101; 	  0.4; 	"";
67; 	 743.0773; 	    104; 	  0.4; 	"";
68; 	 762.4377; 	    133; 	  0.5; 	"";
69; 	 808.0077; 	    119; 	  0.4; 	"";
70; 	 844.0896; 	    107; 	  0.4; 	"";
71; 	 846.7104; 	    101; 	  0.4; 	"";
72; 	 861.1358; 	    115; 	  0.4; 	"";
73; 	 863.4180; 	    138; 	  0.5; 	"";
74; 	 876.3778; 	    159; 	  0.6; 	"";
75; 	 923.9980; 	    244; 	  0.9; 	"";
76; 	 948.1412; 	    110; 	  0.4; 	"";
77; 	 965.1547; 	    100; 	  0.4; 	"";
78; 	 966.1684; 	    657; 	  2.4; 	"";
79; 	 968.1295; 	    219; 	  0.8; 	"";
80; 	 969.1432; 	    875; 	  3.2; 	"";
81; 	 970.1481; 	   6495; 	 23.5; 	"970.15";
82; 	 971.1342; 	   3920; 	 14.2; 	"971.13";
83; 	 972.7912; 	    308; 	  1.1; 	"";
84; 	1045.1478; 	    173; 	  0.6; 	"";
85; 	1053.1363; 	    110; 	  0.4; 	"";
86; 	1073.0976; 	    111; 	  0.4; 	"";
87; 	1075.1373; 	    321; 	  1.2; 	"";
88; 	1080.1432; 	   1679; 	  6.1; 	"";
89; 	1097.1609; 	  25822; 	 93.6; 	"1097.16";
90; 	1099.1427; 	   3945; 	 14.3; 	"1099.14";
91; 	1181.0222; 	    124; 	  0.5; 	"";
92; 	1191.1035; 	    101; 	  0.4; 	"";
93; 	1197.1666; 	    202; 	  0.7; 	"";
94; 	1207.1400; 	   2391; 	  8.7; 	"";
95; 	1241.9973; 	    268; 	  1.0; 	"";
96; 	1246.4683; 	    398; 	  1.4; 	"";
97; 	1290.1959; 	    125; 	  0.5; 	"";
98; 	1312.1574; 	    103; 	  0.4; 	"";
99; 	1316.1290; 	    102; 	  0.4; 	"";
100; 	1318.1668; 	    846; 	  3.1; 	"";
101; 	1325.2877; 	    151; 	  0.5; 	"";
102; 	1334.1761; 	   5098; 	 18.5; 	"1334.18";
103; 	1336.2055; 	    429; 	  1.6; 	"";
104; 	1426.1582; 	    117; 	  0.4; 	"";
105; 	1440.2533; 	    669; 	  2.4; 	"";
106; 	1443.1876; 	   2805; 	 10.2; 	"1443.19";
107; 	1445.1900; 	   2497; 	  9.0; 	"";
108; 	1463.2158; 	    212; 	  0.8; 	"";
109; 	1554.1767; 	    566; 	  2.1; 	"";
110; 	1556.1660; 	    118; 	  0.4; 	"";
111; 	1572.2236; 	   1935; 	  7.0; 	"";
112; 	1659.2061; 	    109; 	  0.4; 	"";
113; 	1680.1938; 	    334; 	  1.2; 	"";
114; 	1682.2251; 	    366; 	  1.3; 	"";
115; 	1702.5872; 	    268; 	  1.0; 	"";
116; 	1807.2348; 	   1171; 	  4.2; 	"";
117; 	1809.3538; 	    589; 	  2.1; 	"";
118; 	1875.5395; 	    260; 	  0.9; 	"";
119; 	1919.2238; 	    102; 	  0.4; 	"";
120; 	1928.7548; 	    257; 	  0.9; 	"";
121; 	1937.0358; 	    235; 	  0.9; 	"";
122; 	1945.3061; 	    123; 	  0.4; 	"";
